Reading pref.tcl
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 24500000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 24500000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 25650000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 25950000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 25950000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 25950000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 25950000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 25950000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=14 data=0xf8
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 25950000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=14 data=0xf8
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 26100000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=14 data=0xf8
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 26300000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=14 data=0xf8
# UVM_INFO UVM/my_case0.sv(37) @ 26300000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 26300000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 26300000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 27450000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 27750000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 27750000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 27750000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 27750000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 27750000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=15 data=0x4d
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 27750000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=15 data=0x4d
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 27900000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=15 data=0x4d
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 28100000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=15 data=0x4d
# UVM_INFO UVM/my_case0.sv(37) @ 28100000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 28100000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 28100000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 29250000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 29550000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 29550000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 29550000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 29550000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/my_case0.sv(43) @ 29550000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] body finished
# UVM_INFO verilog_src/uvm-1.1d/src/base/uvm_objection.svh(1267) @ 29550000: reporter [TEST_DONE] 'run' phase is ready to proceed to the 'extract' phase
# --------------------------------------------------
# â TESTCASE PASSED
# --------------------------------------------------
# ** Note: $finish    : UVM/base_test.sv(51)
#    Time: 29550 ns  Iteration: 49  Region: /uvm_pkg::uvm_phase::m_run_phases
# End time: 15:25:59 on Jan 06,2026, Elapsed time: 0:00:05
# Errors: 0, Warnings: 0
